,desc,hed,ds,version
0,baseline (eyes open),"Agent-action,Experiment-participant,Eyes-open,Participant-response",ds004362,8.1.0
1,baseline (eyes closed),"Agent-action,Experiment-participant,Eyes-closed,Participant-response",ds004362,8.1.0
2,Task 1 rest ,"Agent-action,Experiment-participant,Participant-response,Rest",ds004362,8.1.0
3,onset of the real motion of opening and closing the left fist when target appears on left side of screen,"(Close,Hand,(To-left-of,Torso)),(Open,Hand,(To-left-of,Torso)),Agent-action,Experiment-participant,Participant-response",ds004362,8.1.0
4,onset of the real motion of opening and closing the right fist when target appears on right side of screen,"(Close,Hand,(To-right-of,Torso)),(Open,Hand,(To-right-of,Torso)),Agent-action,Experiment-participant,Participant-response",ds004362,8.1.0
5,Task 2 rest,"Agent-action,Experiment-participant,Participant-response,Rest",ds004362,8.1.0
6,onset of the imagined motion of opening and closing the left fist when target appears on left side of screen,"(Close,Hand,(To-left-of,Torso)),(Open,Hand,(To-left-of,Torso)),Agent-action,Experiment-participant,Imagined-action,Participant-response",ds004362,8.1.0
7,onset of the imagined motion of opening and closing the right fist when target appears on right side of screen,"(Close,Hand,(To-right-of,Torso)),(Open,Hand,(To-right-of,Torso)),Agent-action,Experiment-participant,Imagined-action,Participant-response",ds004362,8.1.0
8,Task 3 rest,"Agent-action,Experiment-participant,Participant-response,Rest",ds004362,8.1.0
9,onset of the real motion of opening and closing both fists when target appears on the top side of screen,"((Open,Hand,(To-left-of,Torso)),(Close,Hand,(To-left-of,Torso))),((Open,Hand,(To-right-of,Torso)),(Close,Hand,(To-right-of,Torso))),Agent-action,Experiment-participant,Participant-response",ds004362,8.1.0
10,onset of the real motion of opening and closing both feet when target appears on the bottom side of screen,"((Open,Toes,(To-left-of,Torso)),(Close,Toes,(To-left-of,Torso))),((Open,Toes,(To-right-of,Torso)),(Close,Toes,(To-right-of,Torso))),Agent-action,Experiment-participant,Participant-response",ds004362,8.1.0
11,Task 4 rest,"Agent-action,Experiment-participant,Participant-response,Rest",ds004362,8.1.0
12,onset of the imagined motion of opening and closing both fists when target appears on the top side of screen,"((Open,Hand,(To-left-of,Torso)),(Close,Hand,(To-left-of,Torso))),((Open,Hand,(To-right-of,Torso)),(Close,Hand,(To-right-of,Torso))),Agent-action,Experiment-participant,Imagined-action,Participant-response",ds004362,8.1.0
13,onset of the imagined motion of opening and closing both feet when target appears on the bottom side of screen,"((Open,Toes,(To-left-of,Torso)),(Close,Toes,(To-left-of,Torso))),((Open,Toes,(To-right-of,Torso)),(Close,Toes,(To-right-of,Torso))),Agent-action,Experiment-participant,Imagined-action,Participant-response",ds004362,8.1.0
0,Participant should focus only on auditory stimuli,"(Selective-attention, Auditory-presentation)",ds002893,8.0.0
1,Participant should focus only on visual stimuli.,"(Selective-attention, Visual-presentation)",ds002893,8.0.0
2,An event presentation that should not have been made.,"Sensory-presentation, Mishap",ds002893,8.0.0
3,Participant presses a button.,"Participant-response, (Experiment-participant, (Press, Mouse-button))",ds002893,8.0.0
4,Presentation of a dark blue square.,"Sensory-presentation, Experimental-stimulus, Visual-presentation, (Square, DarkBlue, (Center-of, Computer-screen))",ds002893,8.0.0
5,Auditory and visual presentation of a hear cue.,"Sensory-presentation, (Word, Label/Word-hear), Auditory-presentation, Visual-presentation",ds002893,8.0.0
6,Presentation of a 550 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/550 Hz)",ds002893,8.0.0
7,Presentation of a light blue square.,"Sensory-presentation, Experimental-stimulus, Visual-presentation, (Square, LightBlue, (Center-of, Computer-screen))",ds002893,8.0.0
8,Auditory and visual presentation of a look cue.,"Sensory-presentation, (Word, Label/Word-look), Auditory-presentation, Visual-presentation",ds002893,8.0.0
9,Presentation of a 500 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/500 Hz)",ds002893,8.0.0
10,Pause the recording of the experiment.,"Experiment-control, Pause",ds002893,8.0.0
11,Indicates that the stimulus should be attended to.,Attend-to,ds002893,8.0.0
12,Indicates that the stimulus should be ignored.,Label/Ignore,ds002893,8.0.0
13,Cue indicating participant should focus on auditory stimuli.,"(Cue, Instructional, Focused-attention, Auditory-presentation)",ds002893,8.0.0
14,Cue indicating participant should focus on visual stimuli.,"(Cue, Instructional, Focused-attention, Visual-presentation)",ds002893,8.0.0
15,Stimulus that is a non-target.,Non-target,ds002893,8.0.0
16,Stimulus that is designated as the one to be looked for.,"Target, Oddball",ds002893,8.0.0
17,A target in the attended to modality has been detected.,"(Detect, Target)",ds002893,8.0.0
18,Experimental condition in which participant only pays attention to auditory stimuli.,"(Condition-variable/Auditory-focus, (Focused-attention, Auditory-presentation))",ds002893,8.0.0
19,Experimental condition in which participant only pays attention to visual stimuli.,"(Condition-variable/Visual-focus, (Focused-attention, Visual-presentation))",ds002893,8.0.0
20,Experimental condition in which participant shifts attention based on instructions.,"(Condition-variable/Shift-focus, (Switch-attention, Auditory-presentation, Visual-presentation))",ds002893,8.0.0
0,target digit (3) shown,"(Target,Character/3),Experimental-stimulus,Sensory-event,Visual-presentation",ds004350,8.1.0
1,participant response; correct if following non-target,"(Press,Keyboard-key/Spacebar),Agent-action,Experiment-participant,Participant-response",ds004350,8.1.0
2,"non-target digit (1, 2, 4, 5, 6, 7, 8, 9) shown","(Non-target,Character),Experimental-stimulus,Sensory-event,Visual-presentation",ds004350,8.1.0
0,Start of left perturbation,"(Def/Left-perturb, Onset)",ds004105,8.0.0
1,End of left perturbation,"(Def/Left-perturb, Offset)",ds004105,8.0.0
2,Start of right perturbation,"(Def/Right-perturb, Onset)",ds004105,8.0.0
3,End of right perturbation,"(Def/Right-perturb, Offset)",ds004105,8.0.0
4,Start of a left perturbation cued by a sound.,"(Def/Left-perturb, Onset), Def/Cue-sound",ds004105,8.0.0
5,End of a left perturbation cued by a sound.,"(Def/Left-perturb, Offset)",ds004105,8.0.0
6,Start of a right perturbation cued by a sound.,"(Def/Right-perturb, Onset), Def/Cue-sound",ds004105,8.0.0
7,End of a right perturbation cued by a sound.,"(Def/Right-perturb, Onset)",ds004105,8.0.0
8,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)",ds004105,8.0.0
9,End driving car forward.,"(Def/Drive-vehicle, Offset)",ds004105,8.0.0
10,Beginning of non-cue tone instance.,"(Def/Non-cue-sound, Onset)",ds004105,8.0.0
11,Beginning of non-cue tone instance.,"(Def/Non-cue-sound, Offset)",ds004105,8.0.0
