prompt,completion
baseline (eyes open),"Agent-action,Experiment-participant,Eyes-open,Participant-response"
baseline (eyes closed),"Agent-action,Experiment-participant,Eyes-closed,Participant-response"
Task 1 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
onset of the real motion of opening and closing the left fist when target appears on left side of screen,"(Close,Hand,(To-left-of,Torso)),(Open,Hand,(To-left-of,Torso)),Agent-action,Experiment-participant,Participant-response"
onset of the real motion of opening and closing the right fist when target appears on right side of screen,"(Close,Hand,(To-right-of,Torso)),(Open,Hand,(To-right-of,Torso)),Agent-action,Experiment-participant,Participant-response"
Task 2 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
onset of the imagined motion of opening and closing the left fist when target appears on left side of screen,"(Close,Hand,(To-left-of,Torso)),(Open,Hand,(To-left-of,Torso)),Agent-action,Experiment-participant,Imagined-action,Participant-response"
onset of the imagined motion of opening and closing the right fist when target appears on right side of screen,"(Close,Hand,(To-right-of,Torso)),(Open,Hand,(To-right-of,Torso)),Agent-action,Experiment-participant,Imagined-action,Participant-response"
Task 3 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
onset of the real motion of opening and closing both fists when target appears on the top side of screen,"((Open,Hand,(To-left-of,Torso)),(Close,Hand,(To-left-of,Torso))),((Open,Hand,(To-right-of,Torso)),(Close,Hand,(To-right-of,Torso))),Agent-action,Experiment-participant,Participant-response"
onset of the real motion of opening and closing both feet when target appears on the bottom side of screen,"((Open,Toes,(To-left-of,Torso)),(Close,Toes,(To-left-of,Torso))),((Open,Toes,(To-right-of,Torso)),(Close,Toes,(To-right-of,Torso))),Agent-action,Experiment-participant,Participant-response"
Task 4 rest,"Agent-action,Experiment-participant,Participant-response,Rest"
onset of the imagined motion of opening and closing both fists when target appears on the top side of screen,"((Open,Hand,(To-left-of,Torso)),(Close,Hand,(To-left-of,Torso))),((Open,Hand,(To-right-of,Torso)),(Close,Hand,(To-right-of,Torso))),Agent-action,Experiment-participant,Imagined-action,Participant-response"
onset of the imagined motion of opening and closing both feet when target appears on the bottom side of screen,"((Open,Toes,(To-left-of,Torso)),(Close,Toes,(To-left-of,Torso))),((Open,Toes,(To-right-of,Torso)),(Close,Toes,(To-right-of,Torso))),Agent-action,Experiment-participant,Imagined-action,Participant-response"
Participant should focus only on auditory stimuli,"(Selective-attention, Auditory-presentation)"
Participant should focus only on visual stimuli.,"(Selective-attention, Visual-presentation)"
An event presentation that should not have been made.,"Sensory-presentation, Mishap"
Participant presses a button.,"Participant-response, (Experiment-participant, (Press, Mouse-button))"
Presentation of a dark blue square.,"Sensory-presentation, Experimental-stimulus, Visual-presentation, (Square, DarkBlue, (Center-of, Computer-screen))"
Auditory and visual presentation of a hear cue.,"Sensory-presentation, (Word, Label/Word-hear), Auditory-presentation, Visual-presentation"
Presentation of a 550 Hz tone.,"Sensory-presentation, Experimental-stimulus, Auditory-presentation, (Tone, Frequency/550 Hz)"
Presentation of a light blue square.,"Sensory-presentation, Experimental-stimulus, Visual-presentation, (Square, LightBlue, (Center-of, Computer-screen))"
